,Age0_14_Male,Age0_14_MaleRate,Age15_24_Male,Age15_24_MaleRate,Age25_44_Male,Age25_44_MaleRate,Age45_64_Male,Age45_64_MaleRate,Age65Plus_Male,Age65Plus_MaleRate
658,,,,,,,,,,
659,,,,,,,,,,
660,,,,,,,,,,
661,,,,,,,,,,
662,,,,,,,,,,
663,,,,,,,,,,
664,,,,,,,,,,
665,,,,,,,,,,
666,,,,,,,,,,
667,,,,,,,,,,
668,,,,,,,,,,
669,,,,,,,,,,
670,,,,,,,,,,
671,,,,,,,,,,
672,,,,,,,,,,
673,,,,,,,,,,
674,,,,,,,,,,
675,,,,,,,,,,
676,,,,,,,,,,
677,,,,,,,,,,
678,,,,,,,,,,
679,,,,,,,,,,
680,,,,,,,,,,
681,,,,,,,,,,
682,,,,,,,,,,
683,,,,,,,,,,
684,,,,,,,,,,
685,,,,,,,,,,
686,,,,,,,,,,
687,,,,,,,,,,
688,,,,,,,,,,
689,,,,,,,,,5.0,13.3
690,,,,,,,,,,
691,,,,,,,,,,
692,,,,,,,,,,
693,,,,,,,,,,
694,,,,,,,,,,
695,,,,,,,,,,
696,,,,,,,,,,
697,,,,,,,,,,
698,,,,,,,,,,
699,,,,,,,,,,
700,,,,,,,,,,
701,,,,,,,,,,
702,,,,,,,,,,
703,,,,,,,,,,
704,,,,,,,,,,
705,,,,,,,,,,
706,,,,,,,,,,
707,,,,,,,,,,
708,,,,,,,,,,
709,,,,,,,,,,
710,,,,,,,,,6.0,16.11
711,,,,,,,,,,
712,,,,,,,,,,
713,,,,,,,,,,
714,,,,,,,,,,
715,,,,,,,,,,
716,,,,,,,,,,
717,,,,,,,,,,
718,,,,,,,,,,
719,,,,,,,,,,
720,,,,,,,,,,
721,,,,,,,,,,
722,,,,,,,,,,
723,,,,,,,,,,
724,,,,,,,,,6.0,8.35
725,,,,,,,,,,
726,,,,,,,,,,
727,,,,,,,,,,
728,,,,,,,,,,
729,,,,,,,,,,
730,,,,,,,,,15.0,8.59
731,,,,,,,,,,
732,,,,,,,,,,
733,,,,,,,,,,
734,,,,,,,,,,
735,,,,,,,,,,
736,,,,,,,,,,
737,,,,,,,,,,
738,,,,,,,,,,
739,,,,,,,,,,
740,,,,,,,,,,
741,,,,,,,,,,
742,,,,,,,,,,
743,,,,,,,,,,
744,,,,,,,,,,
745,,,,,,,,,,
746,,,,,,,,,,
747,,,,,,,,,,
748,,,,,,,,,,
749,,,,,,,,,,
750,,,,,,,,,,
751,,,,,,,,,,
752,,,,,,,,,,
753,,,,,,,,,,
754,,,,,,,,,,
755,,,,,,,,,,
756,,,,,,,,,,
757,,,,,,,,,,
758,,,,,,,,,,
759,,,,,,,,,,
760,,,,,,,,,,
761,,,,,,,,,,
